item_id,quantity,price,last_updated
A100,low,CALL,Pending
A100,low,TBD,Pending
A100,16,,01/05/2023
A100,OUT OF STOCK,CALL,
A100,,,
A100,OUT OF STOCK,235.91,01/05/2023
A100,61,CALL,01/05/2023
A100,low,478.19,Pending
A100,,CALL,01/05/2023
A101,low,CALL,01/05/2023
A101,,,01/05/2023
A102,OUT OF STOCK,,2023-01-01
A102,84,CALL,01/05/2023
A102,,,Pending
A102,low,,2023.05.10
A102,low,CALL,Pending
A103,,CALL,2023-01-01
A103,OUT OF STOCK,232.27,2023-01-01
A103,,,01/05/2023
A103,OUT OF STOCK,CALL,2023.05.10
A103,low,192.46,
A103,50,CALL,01/05/2023
A104,,CALL,2023-01-01
A104,36,CALL,01/05/2023
A104,97,72.36,
A104,97,59.61,
A104,,,2023-01-01
A104,95,,2023-01-01
A104,low,TBD,2023-01-01
A105,low,CALL,Pending
A105,low,461.2,
A105,OUT OF STOCK,111.97,Pending
A105,48,,Pending
A105,low,CALL,01/05/2023
A105,low,TBD,Pending
A105,low,301.55,01/05/2023
A106,OUT OF STOCK,437.65,2023-01-01
A106,21,431.72,2023-01-01
A106,low,20.59,2023-01-01
A106,50,355.75,2023-01-01
A106,,CALL,2023-01-01
A106,low,TBD,2023.05.10
A106,,,
A106,low,294.41,2023.05.10
A107,low,CALL,01/05/2023
A107,OUT OF STOCK,168.72,01/05/2023
A107,low,109.79,
A107,,195.98,2023-01-01
A107,OUT OF STOCK,18.33,
A107,OUT OF STOCK,446.84,2023.05.10
A108,,95.37,2023.05.10
A108,low,,01/05/2023
A109,OUT OF STOCK,CALL,2023.05.10
A109,9,293.79,Pending
A109,,TBD,
A109,low,CALL,2023.05.10
A109,OUT OF STOCK,TBD,01/05/2023
A110,,CALL,2023.05.10
A110,,CALL,Pending
A110,low,TBD,Pending
A111,,170.43,2023-01-01
A111,,CALL,
A111,,CALL,01/05/2023
A111,low,CALL,
A111,,279.99,01/05/2023
A111,OUT OF STOCK,TBD,2023-01-01
A112,low,CALL,01/05/2023
A112,,CALL,2023.05.10
A112,,387.86,2023-01-01
A112,11,,01/05/2023
A112,,TBD,2023.05.10
A112,,CALL,2023.05.10
A112,OUT OF STOCK,337.7,01/05/2023
A112,,CALL,Pending
A112,32,467.67,Pending
A112,,TBD,Pending
A113,low,TBD,
A113,83,452.93,2023.05.10
A113,,CALL,
A113,OUT OF STOCK,TBD,01/05/2023
A113,64,,Pending
A113,low,195.53,
A113,1,,2023.05.10
A113,low,,01/05/2023
A114,low,,01/05/2023
A114,52,269.05,
A114,low,,01/05/2023
A114,60,,Pending
A115,65,,01/05/2023
A115,,CALL,Pending
A115,,CALL,2023.05.10
A115,,CALL,01/05/2023
A115,,427.66,01/05/2023
A116,43,CALL,
A116,OUT OF STOCK,TBD,2023-01-01
A116,OUT OF STOCK,TBD,01/05/2023
A116,,CALL,2023.05.10
A117,OUT OF STOCK,,
A117,61,TBD,01/05/2023
A117,61,TBD,01/05/2023
A117,,,01/05/2023
A117,35,TBD,Pending
A117,,TBD,
A117,low,CALL,2023.05.10
A117,low,TBD,2023-01-01
A118,,CALL,2023.05.10
A118,low,338.92,2023.05.10
A118,,288.04,2023-01-01
A118,43,CALL,Pending
A118,41,,2023-01-01
A118,OUT OF STOCK,CALL,
A119,OUT OF STOCK,TBD,01/05/2023
A119,68,CALL,2023-01-01
A119,19,,
A119,,78.18,01/05/2023
A119,44,CALL,2023-01-01
A120,55,419.55,2023.05.10
A120,,,2023-01-01
A120,,,
A120,low,300.6,Pending
A120,17,,01/05/2023
A120,80,TBD,01/05/2023
A120,OUT OF STOCK,CALL,
